Asset,regime,model,alpha,beta_d,beta_w,beta_m,R2_insample,N,beta_FinBERT_score_lag1,p_FinBERT_score_lag1,beta_sent_surprise_lag1,p_sent_surprise_lag1,beta_vpin_lag1,p_vpin_lag1,beta_obi_sq_lag1,p_obi_sq_lag1
BTC,low,HAR,-2.1959,0.0801,0.2607,0.3819,0.1683,447,,,,,,,,
BTC,low,HAR-S,-1.6601,0.2711,0.2772,0.4576,0.2041,378,0.0,,0.0,,-0.6997,0.4363,3.2904,0.0018
BTC,medium,HAR,-3.5509,0.0833,0.2301,0.2253,0.0942,364,,,,,,,,
BTC,medium,HAR-S,-1.6239,0.2212,0.1976,0.3035,0.1459,364,0.0,,0.0,,-1.0312,0.2167,3.0108,0.0009
BTC,high,HAR,-1.0939,0.2031,0.3925,0.2526,0.435,1933,,,,,,,,
BTC,high,HAR-S,-0.2781,0.1146,-0.063,0.8528,0.2274,358,0.0,,0.0,,-1.2082,0.1333,1.7652,0.1177
SPX,low,HAR,-7.7624,0.0048,-0.1369,0.4595,0.0064,306,,,,,,,,
SPX,low,HAR-S,-10.0111,0.0503,-0.3348,0.707,0.0496,260,0.8026,0.55,-1.9854,0.1006,,,,
SPX,medium,HAR,-8.3514,-0.1035,0.2052,0.1256,0.0147,245,,,,,,,,
SPX,medium,HAR-S,-16.9612,-0.1026,0.1945,-0.2881,0.0356,245,-1.0438,0.4416,0.5721,0.5673,,,,
SPX,high,HAR,-3.0371,0.0052,0.3057,0.4138,0.1146,2311,,,,,,,,
SPX,high,HAR-S,-11.3349,-0.1075,-0.0942,0.3949,0.0689,250,-3.3368,0.1747,-0.1758,0.9288,,,,
NIFTY,low,HAR,-7.9912,-0.0691,0.1738,0.1866,0.0137,295,,,,,,,,
NIFTY,low,HAR-S,-8.7246,-0.0502,0.1853,0.1832,0.0207,248,0.6482,0.5833,-0.4453,0.72,,,,
NIFTY,medium,HAR,-6.1816,-0.0419,0.2712,0.223,0.0328,232,,,,,,,,
NIFTY,medium,HAR-S,-8.654,-0.0511,0.2644,0.125,0.0566,232,-1.2025,0.6123,-0.6657,0.6931,,,,
NIFTY,high,HAR,-4.2872,-0.0075,0.0829,0.5318,0.0423,2228,,,,,,,,
NIFTY,high,HAR-S,-14.8738,0.0825,-0.129,-0.1095,0.0684,239,0.2107,0.9267,-1.2919,0.5622,,,,
