Asset,Model,Variable,Coef,p-value,Sig,R²,N
BTC,HAR,const,-1.1356,0.000,***,0.4037,2744
BTC,HAR,RV_d,0.1714,0.000,***,0.4037,2744
BTC,HAR,RV_w,0.3752,0.000,***,0.4037,2744
BTC,HAR,RV_m,0.3001,0.000,***,0.4037,2744
BTC,HAR-S,const,-1.0103,0.124,,0.1873,1095
BTC,HAR-S,RV_d,0.2175,0.000,***,0.1873,1095
BTC,HAR-S,RV_w,0.2232,0.006,***,0.1873,1095
BTC,HAR-S,RV_m,0.5389,0.000,***,0.1873,1095
BTC,HAR-S,vpin_lag1,-0.7944,0.116,,0.1873,1095
BTC,HAR-S,obi_sq_lag1,2.7692,0.000,***,0.1873,1095
BTC,HAR-S,illiq_lag1,0.0000,0.308,,0.1873,1095
BTC,HAR-S,FinBERT_score_lag1,0.0000,0.013,**,0.1873,1095
BTC,HAR-S,sent_surprise_lag1,0.0000,—,,0.1873,1095
BTC,HAR-S,credit_spread_lag1,-0.0500,0.606,,0.1873,1095
BTC,HAR-S,term_slope_lag1,0.0462,0.645,,0.1873,1095
BTC,HAR-S,crypto_fg_lag1,0.0204,0.907,,0.1873,1095
SPX,HAR,const,-3.3600,0.000,***,0.0885,2862
SPX,HAR,RV_d,-0.0041,0.845,,0.0885,2862
SPX,HAR,RV_w,0.2486,0.000,***,0.0885,2862
SPX,HAR,RV_m,0.4518,0.000,***,0.0885,2862
SPX,HAR-S,const,-9.9282,0.000,***,0.0339,755
SPX,HAR-S,RV_d,-0.0387,0.236,,0.0339,755
SPX,HAR-S,RV_w,-0.0621,0.549,,0.0339,755
SPX,HAR-S,RV_m,0.3999,0.020,**,0.0339,755
SPX,HAR-S,illiq_lag1,0.0000,0.612,,0.0339,755
SPX,HAR-S,FinBERT_score_lag1,-0.2352,0.802,,0.0339,755
SPX,HAR-S,sent_surprise_lag1,-1.0842,0.222,,0.0339,755
SPX,HAR-S,credit_spread_lag1,0.6285,0.028,**,0.0339,755
SPX,HAR-S,term_slope_lag1,0.5250,0.071,*,0.0339,755
NIFTY50,HAR,const,-4.6020,0.000,***,0.0399,2755
NIFTY50,HAR,RV_d,-0.0164,0.429,,0.0399,2755
NIFTY50,HAR,RV_w,0.1152,0.034,**,0.0399,2755
NIFTY50,HAR,RV_m,0.4823,0.000,***,0.0399,2755
NIFTY50,HAR-S,const,-10.0824,0.000,***,0.0305,719
NIFTY50,HAR-S,RV_d,-0.0066,0.874,,0.0305,719
NIFTY50,HAR-S,RV_w,0.1380,0.172,,0.0305,719
NIFTY50,HAR-S,RV_m,0.1607,0.354,,0.0305,719
NIFTY50,HAR-S,illiq_lag1,0.0000,0.000,***,0.0305,719
NIFTY50,HAR-S,FinBERT_score_lag1,-0.2227,0.803,,0.0305,719
NIFTY50,HAR-S,sent_surprise_lag1,-0.3763,0.670,,0.0305,719
NIFTY50,HAR-S,credit_spread_lag1,0.6219,0.022,**,0.0305,719
NIFTY50,HAR-S,term_slope_lag1,0.7174,0.009,***,0.0305,719
