Asset,regime,model,QLIKE,MSE,MAE,N_oos
BTC,low,HAR,0.470819,0.691224,0.620575,347
BTC,low,HAR-S,0.532022,0.711146,0.650635,347
BTC,medium,HAR,0.312191,0.582951,0.574066,264
BTC,medium,HAR-S,0.350755,0.581311,0.592635,264
BTC,high,HAR,0.621197,0.690976,0.614219,1833
BTC,high,HAR-S,1.054972,0.997196,0.765033,328
SPX,low,HAR,4.345635,7.426328,1.955155,206
SPX,low,HAR-S,5.496188,7.599191,1.971089,206
SPX,medium,HAR,5.900221,6.454599,1.911724,164
SPX,medium,HAR-S,5.568507,12.62131,2.119872,164
SPX,high,HAR,5.001994,5.926379,1.889621,2211
SPX,high,HAR-S,6.312499,11.002997,2.168022,220
NIFTY,low,HAR,2.898329,5.149874,1.748861,197
NIFTY,low,HAR-S,4.32693,5.376961,1.847062,197
NIFTY,medium,HAR,8.025272,7.628994,2.096564,155
NIFTY,medium,HAR-S,16.153022,8.446779,2.200464,155
NIFTY,high,HAR,3.885983,5.65541,1.784206,2128
NIFTY,high,HAR-S,4.010003,6.11707,1.877294,209
